inv_id,project_name,project_state,material_category,grn_date,received_qty,system_qty,issued_qty,balance_qty,unit,days_of_cover,accuracy_flag,replenish_alert,accuracy_status,replenish_status,stock_health,utilisation_pct
INV0019,Civil Works – Odisha,Odisha,Inverters / PCUs,2024-12-02,145,145,145,0,piece,0,1,1,Accurate,Replenish Now,Critical,100.0
INV0003,Civil Works – Odisha,Odisha,Solar PV Modules,2024-12-21,6,6,6,0,piece,0,1,1,Accurate,Replenish Now,Critical,100.0
INV0032,Solar Farm – Jharkhand,Jharkhand,Civil Materials,2025-03-01,15,15,15,0,MT,0,1,1,Accurate,Replenish Now,Critical,100.0
INV0017,Solar Rooftop – Siliguri,West Bengal,Inverters / PCUs,2025-03-16,158,158,156,2,piece,0,1,1,Accurate,Replenish Now,Critical,98.7
INV0047,Solar Farm – Bankura,West Bengal,Earthing Materials,2024-12-13,72,72,70,2,piece,1,1,1,Accurate,Replenish Now,Critical,97.2
INV0015,Solar Rooftop – Siliguri,West Bengal,Inverters / PCUs,2025-01-10,5,5,4,1,piece,1,1,1,Accurate,Replenish Now,Critical,80.0
INV0029,Solar Farm – Jharkhand,Jharkhand,Civil Materials,2025-02-07,174,174,170,4,MT,1,1,1,Accurate,Replenish Now,Critical,97.7
INV0007,Solar Farm – Jharkhand,Jharkhand,Solar PV Modules,2025-02-17,95,95,92,3,piece,1,1,1,Accurate,Replenish Now,Critical,96.8
INV0005,Solar Farm – Bankura,West Bengal,Solar PV Modules,2025-03-15,25,25,24,1,piece,1,1,1,Accurate,Replenish Now,Critical,96.0
INV0028,Solar Farm – Jharkhand,Jharkhand,HT/LT Cables,2024-12-08,20,20,18,2,meter,2,1,1,Accurate,Replenish Now,Critical,90.0
INV0034,Solar Rooftop – Siliguri,West Bengal,Civil Materials,2024-12-25,164,166,155,11,MT,2,0,1,Mismatch,Replenish Now,Critical,94.5
INV0027,Solar Farm – Bankura,West Bengal,HT/LT Cables,2025-03-02,28,28,26,2,meter,2,1,1,Accurate,Replenish Now,Critical,92.9
INV0022,Solar Farm – Bankura,West Bengal,HT/LT Cables,2025-03-19,13,13,11,2,meter,2,1,1,Accurate,Replenish Now,Critical,84.6
INV0021,Civil Works – Odisha,Odisha,Inverters / PCUs,2024-11-23,91,91,82,9,piece,3,1,1,Accurate,Replenish Now,Critical,90.1
INV0030,Solar Farm – Bankura,West Bengal,Civil Materials,2025-02-21,19,19,16,3,MT,3,1,1,Accurate,Replenish Now,Critical,84.2
INV0018,Solar Rooftop – Siliguri,West Bengal,Inverters / PCUs,2024-11-07,25,25,21,4,piece,4,1,1,Accurate,Replenish Now,Low,84.0
